iter	Passed	Remaining
0	3	3026
1	5	2949
2	9	3103
3	12	3079
4	27	5407
5	30	5040
6	33	4754
7	36	4505
8	39	4329
9	42	4171
10	45	4069
11	48	3997
12	51	3883
13	54	3803
14	57	3753
15	60	3704
16	63	3664
17	65	3572
18	67	3509
19	71	3486
20	73	3440
21	76	3387
22	79	3371
23	81	3333
24	84	3290
25	87	3271
26	89	3243
27	92	3221
28	95	3198
29	113	3677
30	116	3649
31	119	3616
32	122	3578
33	124	3529
34	127	3507
35	129	3474
36	132	3435
37	134	3408
38	137	3390
39	140	3366
40	143	3348
41	145	3329
42	148	3314
43	151	3297
44	154	3278
45	157	3270
46	160	3250
47	163	3242
48	166	3231
49	169	3211
50	171	3193
51	174	3176
52	176	3155
53	179	3138
54	181	3119
55	184	3110
56	203	3367
57	206	3352
58	208	3332
59	210	3296
60	212	3277
61	215	3259
62	218	3247
63	221	3246
64	232	3338
65	234	3324
66	237	3310
67	240	3294
68	243	3282
69	246	3270
70	249	3269
71	253	3267
72	256	3252
73	258	3240
74	261	3230
75	264	3219
76	267	3206
77	271	3206
78	274	3197
79	277	3189
80	279	3174
81	282	3162
82	285	3154
83	288	3144
84	291	3134
85	293	3122
86	296	3112
87	299	3103
88	302	3100
89	305	3093
90	308	3084
91	311	3073
92	314	3069
93	317	3062
94	321	3063
95	331	3122
96	334	3111
97	336	3098
98	339	3087
99	342	3078
100	344	3066
101	347	3059
102	350	3052
103	353	3043
104	355	3032
105	358	3022
106	361	3015
107	363	3005
108	366	2994
109	368	2984
110	371	2975
111	374	2965
112	376	2956
113	379	2952
114	383	2949
115	386	2943
116	389	2938
117	391	2929
118	394	2921
119	397	2913
120	400	2906
121	403	2900
122	406	2897
123	409	2891
124	412	2885
125	415	2885
126	420	2889
127	423	2882
128	426	2876
129	434	2910
130	438	2905
131	440	2899
132	443	2890
133	446	2886
134	449	2883
135	452	2876
136	455	2871
137	458	2866
138	462	2863
139	464	2855
140	467	2847
141	470	2842
142	473	2836
143	476	2831
144	479	2826
145	494	2893
146	497	2888
147	500	2881
148	503	2875
149	506	2870
150	509	2864
151	512	2858
152	514	2850
153	518	2845
154	521	2840
155	523	2833
156	526	2824
157	528	2816
158	531	2809
159	533	2801
160	536	2794
161	538	2787
162	542	2787
163	545	2782
164	549	2780
165	552	2774
166	554	2767
167	557	2761
168	560	2754
169	563	2749
170	565	2743
171	568	2736
172	571	2729
173	574	2725
174	577	2722
175	580	2717
176	584	2716
177	587	2712
178	590	2706
179	592	2701
180	595	2696
181	599	2692
182	601	2687
183	604	2682
184	609	2683
185	611	2677
186	614	2672
187	617	2668
188	621	2665
189	623	2658
190	627	2659
191	642	2701
192	645	2697
193	648	2693
194	651	2688
195	654	2684
196	657	2678
197	659	2671
198	662	2666
199	665	2661
200	668	2656
201	670	2649
202	673	2644
203	676	2638
204	679	2633
205	681	2628
206	685	2624
207	688	2620
208	690	2615
209	694	2611
210	696	2606
211	700	2602
212	702	2596
213	705	2591
214	708	2585
215	710	2580
216	713	2575
217	716	2570
218	729	2601
219	732	2595
220	734	2589
221	737	2585
222	740	2580
223	743	2575
224	746	2570
225	749	2565
226	751	2560
227	754	2556
228	757	2551
229	760	2546
230	763	2541
231	766	2536
232	769	2532
233	772	2528
234	774	2522
235	777	2517
236	780	2512
237	782	2505
238	785	2502
239	788	2496
240	791	2492
241	804	2520
242	808	2517
243	811	2513
244	813	2508
245	816	2503
246	819	2498
247	822	2492
248	824	2488
249	828	2485
250	830	2479
251	833	2474
252	836	2468
253	838	2463
254	847	2475
255	850	2470
256	852	2465
257	855	2459
258	858	2455
259	861	2451
260	864	2447
261	867	2443
262	869	2437
263	872	2432
264	875	2428
265	878	2425
266	881	2420
267	884	2417
268	888	2413
269	890	2408
270	893	2403
271	896	2398
272	898	2393
273	901	2388
274	904	2384
275	907	2380
276	910	2375
277	913	2371
278	915	2367
279	918	2362
280	922	2359
281	925	2355
282	927	2350
283	930	2345
284	932	2340
285	935	2335
286	938	2330
287	941	2326
288	943	2321
289	946	2316
290	948	2311
291	951	2307
292	954	2302
293	956	2297
294	959	2292
295	961	2286
296	964	2282
297	967	2278
298	969	2273
299	978	2284
300	981	2280
301	984	2274
302	987	2270
303	989	2265
304	992	2260
305	994	2256
306	997	2251
307	999	2246
308	1002	2241
309	1005	2237
310	1007	2232
311	1010	2228
312	1013	2225
313	1016	2221
314	1020	2218
315	1022	2213
316	1025	2209
317	1027	2204
318	1030	2199
319	1033	2197
320	1036	2193
321	1039	2189
322	1042	2185
323	1045	2181
324	1048	2177
325	1051	2173
326	1053	2168
327	1056	2164
328	1059	2160
329	1061	2156
330	1065	2153
331	1068	2150
332	1070	2144
333	1073	2140
334	1076	2136
335	1079	2133
336	1095	2155
337	1098	2152
338	1101	2147
339	1104	2143
340	1106	2139
341	1110	2135
342	1112	2131
343	1115	2126
344	1118	2123
345	1120	2118
346	1123	2114
